title,authors,year,venue,citations,url,abstract
Optimum and suboptimum algorithms for input encoding and its relationship to logic minimization,"Seiyang Yang, M. Ciesielski",1991.0,IEEE Trans. Comput. Aided Des. Integr. Circuits Syst.,94,https://www.semanticscholar.org/paper/33e145fa94b0a07e7005b62786c3383417728b36,
Scalable Iterative Solution of Sparse Linear Systems,"Mark T. Jones, P. Plassmann",1994.0,Parallel Computing,93,https://www.semanticscholar.org/paper/a3a2f8414f295bedb67fd45763279381ab582557,
"Object-oriented implementation of heuristic search methods for Graph Coloring, Maximum Clique, and Satisfiability","C. Fleurent, J. Ferland",1993.0,"Cliques, Coloring, and Satisfiability",93,https://www.semanticscholar.org/paper/adec799289683274cb240f166ab8a294fcc90a76,
A graph coloring model for a feasibility problem in monthly crew scheduling with preferential bidding,"M. Gamache, A. Hertz, Jérôme Olivier Ouellet",2007.0,Computers & Operations Research,91,https://www.semanticscholar.org/paper/07329b68af69b881c31c6a59569e0b34a86c526e,
Graph coloring algorithms for multi-core and massively multithreaded architectures,"Ümit V. Çatalyürek, J. Feo, A. Gebremedhin, M. Halappanavar, A. Pothen",2012.0,Parallel Computing,90,https://www.semanticscholar.org/paper/71347d883ef8e079f4dd4924d3df6fc0e0b2f611,"We explore the interplay between architectures and algorithm design in the context of shared-memory platforms and a specific graph problem of central importance in scientific and high-performance computing, distance-1 graph coloring. We introduce two different kinds of multithreaded heuristic algorithms for the stated, NP-hard, problem. The first algorithm relies on speculation and iteration, and is suitable for any shared-memory system. The second algorithm uses dataflow principles, and is targeted at the non-conventional, massively multithreaded Cray XMT system. We study the performance of the algorithms on the Cray XMT and two multi-core systems, Sun Niagara 2 and Intel Nehalem. Together, the three systems represent a spectrum of multithreading capabilities and memory structure. As testbed, we use synthetically generated large-scale graphs carefully chosen to cover a wide range of input types. The results show that the algorithms have scalable runtime performance and use nearly the same number of colors as the underlying serial algorithm, which in turn is effective in practice. The study provides insight into the design of high performance algorithms for irregular problems on many-core architectures."
Extremal optimization at the phase transition of the three-coloring problem.,"S. Boettcher, A. Percus",2004.0,"Physical review. E, Statistical, nonlinear, and soft matter physics",90,https://www.semanticscholar.org/paper/8e19a1a38f6d3b1159dc5c8f9001bd0bb3269f5f,"We investigate the phase transition in vertex coloring on random graphs, using the extremal optimization heuristic. Three-coloring is among the hardest combinatorial optimization problems and is equivalent to a 3-state anti-ferromagnetic Potts model. Like many other such optimization problems, it has been shown to exhibit a phase transition in its ground state behavior under variation of a system parameter: the graph's mean vertex degree. This phase transition is often associated with the instances of highest complexity. We use extremal optimization to measure the ground state cost and the ""backbone,"" an order parameter related to ground state overlap, averaged over a large number of instances near the transition for random graphs of size n up to 512. For these graphs, benchmarks show that extremal optimization reaches ground states and explores a sufficient number of them to give the correct backbone value after about O (n(3.5)) update steps. Finite size scaling yields a critical mean degree value alpha(c) =4.703 (28). Furthermore, the exploration of the degenerate ground states indicates that the backbone order parameter, measuring the constrainedness of the problem, exhibits a first-order phase transition."
Spill code minimization via interference region spilling,"Peter Bergner, Peter Dahl, D. Engebretsen, M. O'Keefe",1997.0,ACM-SIGPLAN Symposium on Programming Language Design and Implementation,84,https://www.semanticscholar.org/paper/23173543689a8574fd4c51cf8282827c32719bb2,
Routing and wavelength assignment in optical networks from edge disjoint path algorithms,"P. Manohar, D. Manjunath, R. Shevgaonkar",2002.0,IEEE Communications Letters,83,https://www.semanticscholar.org/paper/62189d725394090ba5a18078f184943592328ba0,
Register allocation for irregular architectures,"Bernhard Scholz, E. Eckstein",2002.0,LCTES/SCOPES '02,82,https://www.semanticscholar.org/paper/7d2d1614a3444cf173db71b91e6ea368c414b1f1,
Efficient Computation of Sparse Hessians Using Coloring and Automatic Differentiation,"A. Gebremedhin, Arijit Tarafdar, A. Pothen, A. Walther",2009.0,INFORMS journal on computing,76,https://www.semanticscholar.org/paper/4607e817d51b97e2eefc42e8c8d83a335bb58f94,
A fast algorithm for the maximum weight clique problem,Luitpold Babel,1994.0,Computing,76,https://www.semanticscholar.org/paper/44d5f120c2a996d5a7defc7fc8ab3e93e2445f20,
An ACO algorithm for graph coloring problem,"E. Salari, K. Eshghi",2005.0,2005 ICSC Congress on Computational Intelligence Methods and Applications,75,https://www.semanticscholar.org/paper/545f2567467ae100b427a1f15734d46811ed8d3f,
Coloring heuristics for register allocation,"Preston Briggs, K. Cooper, Ken Kennedy, Linda Torczon",1989.0,ACM-SIGPLAN Symposium on Programming Language Design and Implementation,75,https://www.semanticscholar.org/paper/af87fab469e92087906a558efe9e60039a0a16f9,
Modified cuckoo optimization algorithm (MCOA) to solve graph coloring problem,"Shadi Mahmoudi, S. Lotfi",2015.0,Applied Soft Computing,73,https://www.semanticscholar.org/paper/a5c93803d5624f10f1f8294a7626d3d76bab7dc9,
Graph Coloring Using Eigenvalue Decomposition,"Bengt Aspvall, J. Gilbert",1983.0,,72,https://www.semanticscholar.org/paper/63ff83bc9cce1e75a0af5f9ada7eded24b91b604,
Experiments with parallel graph coloring heuristics and applications of graph coloring,"G. Lewandowski, A. Condon",1993.0,"Cliques, Coloring, and Satisfiability",71,https://www.semanticscholar.org/paper/b84e290a31c2536f778fd790ef54512487272e5f,
New Acyclic and Star Coloring Algorithms with Application to Computing Hessians,"A. Gebremedhin, Arijit Tarafdar, F. Manne, A. Pothen",2007.0,SIAM Journal on Scientific Computing,69,https://www.semanticscholar.org/paper/54ad4afc7a68bedc41656103c67965ab34b09c83,
Exact Coloring Of Real-life Graphs Is Easy,O. Coudert,1997.0,Proceedings - Design Automation Conference,68,https://www.semanticscholar.org/paper/ee6411ade24efe340a71bd3f501b0c118e029281,
A Comparison of Parallel Graph Coloring Algorithms,"J. Allwright, R. Bordawekar, P. Coddington, K. Dinçer, Christine Martin",1995.0,,67,https://www.semanticscholar.org/paper/70d7791955fa5d823702e9dc43f0c48b77b268bc,
A Graph-coloring based resource allocation algorithm for D2D communication in cellular networks,"Xuejia Cai, Jun Zheng, Yuan Zhang",2015.0,2015 IEEE International Conference on Communications (ICC),66,https://www.semanticscholar.org/paper/87905e564c91ab78e764f78a9a602bc663ce4f41,
Hybrid Graph Heuristics within a Hyper-Heuristic Approach to Exam Timetabling Problems,"E. Burke, M. Dror, S. Petrovic, R. Qu",2005.0,,66,https://www.semanticscholar.org/paper/3fad492edd30d935f93422c0b6948569616c5dc8,"This paper is concerned with the hybridization of two graph coloring heuristics (Saturation Degree and Largest Degree), and their application within a hyperheuristic for exam timetabling problems. Hyper-heuristics can be seen as algorithms which intelligently select appropriate algorithms/heuristics for solving a problem. We developed a Tabu Search based hyper-heuristic to search for heuristic lists (of graph heuristics) for solving problems and investigated the heuristic lists found by employing knowledge discovery techniques. Two hybrid approaches (involving Saturation Degree and Largest Degree) including one which employs Case Based Reasoning are presented and discussed. Both the Tabu Search based hyper-heuristic and the hybrid approaches are tested on random and real-world exam timetabling problems. Experimental results are comparable with the best state-of-the-art approaches (as measured against established benchmark problems). The results also demonstrate an increased level of generality in our approach."
Sequential packing algorithm for channel assignment under cochannel and adjacent-channel interference constraint,"C. Sung, W. Wong",1997.0,,65,https://www.semanticscholar.org/paper/a2493e169f616b99df81e23fb80575d5f32197ab,
A genetic algorithm for channel assignment problems,Monica Cuppini,2010.0,Transactions on Emerging Telecommunications Technologies,65,https://www.semanticscholar.org/paper/f73649f060a619e14a0f1aab6168360ae8cbad66,
A Graph-Theoretic Approach to Goodness-of-Fit in Complete-Link Hierarchical Clustering,"F. Baker, L. Hubert",1976.0,,64,https://www.semanticscholar.org/paper/3a2d2e8438309946b3439d59ce5e4848754bfe4a,
A randomized saturation degree heuristic for channel assignment in cellular radio networks,"R. Battiti, A. Bertossi, D. Cavallaro",2001.0,IEEE Transactions on Vehicular Technology,63,https://www.semanticscholar.org/paper/a47f9955a6132e8b88fc491b89e4515a4f893f20,
Optimistic register coalescing,"Jinpyo Park, Soo-Mook Moon",1998.0,Proceedings. 1998 International Conference on Parallel Architectures and Compilation Techniques (Cat. No.98EX192),62,https://www.semanticscholar.org/paper/5c8c6a174bdbd0b830020ecea6d7b79734b37e3c,
Exact and heuristic approaches to the airport stand allocation problem,"Julien Guépet, Rodrigo Acuna-Agost, Olivier Briant, J. Gayon",2015.0,European Journal of Operational Research,62,https://www.semanticscholar.org/paper/09922742096c6b312b2b54eedf757044f36b5f84,
Combining Register Allocation and Instruction Scheduling,"R. Motwani, K. Palem, Vivek Sarkar, Salem Reyen",1995.0,,60,https://www.semanticscholar.org/paper/1b7d20b856fd420f93525e70a876853f08560e38,
STABULUS: A technique for finding stable sets in large graphs with tabu search,"Charles Friden, A. Hertz, D. Werra",1989.0,Computing,59,https://www.semanticscholar.org/paper/dfa1e23503c358a6449e469cf37513bd6a44a2cc,
Separator-based data reduction for signed graph balancing,"Falk Hüffner, Nadja Betzler, R. Niedermeier",2010.0,Journal of combinatorial optimization,56,https://www.semanticscholar.org/paper/1209a1977606dfbc90de177301ac2be3f415c63f,
A systematic study on meta-heuristic approaches for solving the graph coloring problem,"Taha Mostafaie, Farzin Modarres, N. Navimipour",2020.0,Computers & Operations Research,55,https://www.semanticscholar.org/paper/1236b14af18700032f33a3592024da7968154831,"Abstract Typically, Graph Coloring Problem (GCP) is one of the key features for graph stamping in graph theory. The general approach is to paint at least edges, vertices, or the surface of the graph with some colors. In the simplest case, a kind of coloring is preferable in which two vertices are not adjacent to the same color. Similarly, the two edges in the same joint should not have the same color. In addition, the same goes for the surface color of the graph. This is one of the NP-hard issues well studied in graph theory. Therefore, many different meta-heuristic techniques are presented to solve the problem and provide high performance. Seemingly, regardless of the importance of the nature-stimulated meta-heuristic methods to solve the GCP, there is not any inclusive report and detailed review about overviewing and investigating the crucial problems of the field. As a result, the present study introduces a wide-ranging reporting of nature- stimulated meta-heuristic methods, which are used throughout the graph coloring. The literature review contains a classification of significant techniques. This study mainly aims at emphasizing the optimization algorithms to handle the GCP problems. Furthermore, the advantages and disadvantages of the meta-heuristic algorithms in solving the GCP and their key issues are examined to offer more advanced meta-heuristic techniques in the future."
Live Range Splitting in a Graph Coloring Register Allocator,"K. Cooper, L. Simpson",1998.0,International Conference on Compiler Construction,55,https://www.semanticscholar.org/paper/9318e10666d1d63ef9feebcf9a1fd3c19cccb410,
Adaptive Penalties for Evolutionary Graph Coloring,"A. Eiben, J. K. V. D. Hauw",1997.0,Artificial Evolution,55,https://www.semanticscholar.org/paper/3039c8b757a0a07e5782b2996c90ec8dd8de0ff0,
